model,state,label,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,all_eigenvalues_stable,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,coupled_relative_improvement_vs_diagonal
coupled_ridge_attractor,Gmean_K_per_m,Gmean,164726.313085891,0.10851859776841376,141544.07819078775,0.12564654660031183,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,-1.6564349130900826
coupled_ridge_attractor,Umax_m_per_s,Umax,0.11238229830140317,0.1802591692634965,0.19123292085337457,0.28851425899925237,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,-0.11202952366069639
coupled_ridge_attractor,front_length_m,L_f,0.00010340457760384465,0.12423125780043272,6.194855002844019e-05,0.07890529872429015,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.24344988882224008
coupled_ridge_attractor,rear_length_m,L_r,9.093177099100353e-05,0.09063368686531319,7.943349883106262e-05,0.07056364824648005,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.07920721301595841
coupled_ridge_attractor,full_width_m,W,3.325996160749709e-05,0.023617137037579946,4.902496693025134e-05,0.03334487357863433,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.0467398686001598
coupled_ridge_attractor,height_span_m,H,4.6353886713600835e-05,0.04347560822423128,2.7373397896715143e-05,0.02449361792138361,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.06140040640423351
coupled_ridge_attractor,Tmax_K,Tmax,176.50463511088154,0.062219869727427865,156.0436389487,0.05990695479391627,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.17096773647993208
coupled_ridge_attractor,Gmean_K_per_m,Gmean,133496.24331294146,0.09941318173329987,51221.960760098416,0.048775682845508324,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.3323918832594313
coupled_ridge_attractor,Umax_m_per_s,Umax,0.1062355168726909,0.19556198630080682,0.09661272015392751,0.20837447717435778,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.2206735043688337
coupled_ridge_attractor,front_length_m,L_f,0.00010097912903901378,0.1143178644872336,9.239427890189828e-05,0.09373468489590982,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.14719819934661563
coupled_ridge_attractor,rear_length_m,L_r,9.046124856222125e-05,0.08400313426809783,0.00019505066204798102,0.13621807531809552,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.7564354090661736
coupled_ridge_attractor,full_width_m,W,0.00010254337421230155,0.06631941499116933,3.588558371198544e-05,0.020894486285217825,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.1498447054514786
coupled_ridge_attractor,height_span_m,H,0.00014127013789651642,0.10399549767886204,3.233106150837711e-05,0.019579038162656985,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.13803291966417086
coupled_ridge_attractor,Tmax_K,Tmax,641.850316945011,0.18553327892062088,271.39955618946567,0.08516900652402738,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.4661386759758333
coupled_ridge_attractor,Gmean_K_per_m,Gmean,325511.43017880514,0.1594734687845354,198994.78570588081,0.16604505842111333,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.5382896247704803
coupled_ridge_attractor,Umax_m_per_s,Umax,0.18048592855766965,0.30430645218690033,0.08905739741101655,0.14537931755601685,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.013666568425836764
coupled_ridge_attractor,front_length_m,L_f,0.00010867164806927892,0.127786691276477,0.0001506371716585253,0.18538438486096567,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.03189184014800002
coupled_ridge_attractor,rear_length_m,L_r,5.0816581509319405e-05,0.04926296975838587,4.4132159816966244e-05,0.03987965886047734,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.3741354665498738
coupled_ridge_attractor,full_width_m,W,5.826673950908635e-05,0.03675284761196339,0.00015491898297058496,0.08862033668774738,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.038788750213832525
coupled_ridge_attractor,height_span_m,H,0.00010246905573567718,0.07752264694755975,4.874730155972106e-05,0.035882828945161434,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.005908731302616164
coupled_ridge_attractor,Tmax_K,Tmax,276.8391057063785,0.08867869020078752,265.9285284420435,0.10473063148357474,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.34622615418254277
coupled_ridge_attractor,Gmean_K_per_m,Gmean,178214.3463367308,0.12102423323560238,158132.71037357984,0.15757433378130797,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.07372615401184049
coupled_ridge_attractor,Umax_m_per_s,Umax,0.059555422092269016,0.11278398535479446,0.06352198614392075,0.11291408764141353,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.139463019881226
coupled_ridge_attractor,front_length_m,L_f,8.111614688197196e-05,0.09508274575901896,0.0007010979674051429,1.0660925045442906,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.009189936307939923
coupled_ridge_attractor,rear_length_m,L_r,7.424195148760117e-05,0.06226649869633044,0.00014042635485853958,0.09877123337138202,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,-0.5633540415558006
