case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A5-750-10-60000,1.0,-0.0015262999999999995,-0.0003037000000000005,2.0862e-11,0.0005784,0.00013882,0.00088737,1707.100155279503,1983.1,657585.5621118012,2903300.0,0.040780054664005645,0.2732872357502268,103810.06677018634,104220.0,13431580.372670807,124490000.0,0.9974857919254658,0.7818,5,750.0,10.0,0.01,60000.0,12.0,322
A6-750-8-40000,0.05,-0.00069165,0.00065,0.0,0.00065,-0.0006106,0.00016542,2006.8300561797753,3843.6,2910736.966292135,13127000.0,0.09763825590135874,0.47024608969985066,102591.13764044944,117570.0,28484207.58426966,129110000.0,0.7192138651685394,0.068178,6,750.0,8.0,0.008,40000.0,8.0,356
A6-750-8-40000,0.1,-0.0008500000000000001,0.0007675999999999999,8.3447e-11,0.00068726,-0.0007754,0.0002657,1928.5955759599333,3165.0,1989770.2086811352,7691700.0,0.1152170106285119,0.6667971051226903,102556.72787979967,105200.0,24810419.449081805,128870000.0,0.8213087896494157,0.125,6,750.0,8.0,0.008,40000.0,8.0,599
A6-750-8-40000,0.15,-0.0008996299999999999,0.0007909,5.9605e-12,0.00070094,-0.0008,0.0003225,1892.850744047619,3123.4,1743166.0788690476,11527000.0,0.09597284019086413,0.41430612121454347,102686.06398809524,104020.0,15306050.297619049,143780000.0,0.8384490550595238,0.064597,6,750.0,8.0,0.008,40000.0,8.0,672
A6-750-8-40000,0.2,-0.0009725700000000001,0.0007747999999999998,1.7881e-11,0.00075,-0.00086756,0.00042557,1898.7159814323609,3121.0,1570385.4442970823,10771000.0,0.09755346729661697,0.470291161303293,103129.66180371353,104610.0,19168226.976127323,178590000.0,0.8530675636604774,0.094177,6,750.0,8.0,0.008,40000.0,8.0,754
A6-750-8-40000,0.3,-0.0009886999999999997,0.0008856000000000003,0.0,0.00075,-0.00079607,0.00050319,1897.2638957816378,3192.7,1558031.8424317618,7591600.0,0.1181868852730595,0.6326343421756362,103131.45161290323,106330.0,18483051.98511166,146300000.0,0.8792526873449132,0.074451,6,750.0,8.0,0.008,40000.0,8.0,806
A6-750-8-40000,0.4,-0.0010500000000000002,0.0008724999999999996,8.6427e-11,0.00076594,-0.00077277,0.00052675,1888.6096341463413,3019.3,1497645.268292683,6173500.0,0.10636465478545223,0.5550377945689825,103080.9756097561,106530.0,17476613.292682927,137300000.0,0.8896795792682927,0.090865,6,750.0,8.0,0.008,40000.0,8.0,820
A6-750-8-40000,0.5,-0.0010776000000000002,0.0007977000000000001,4.0531e-10,0.00077082,-0.00077563,0.00059862,1868.6285882352943,2909.9,1316328.2882352942,6917700.0,0.10377223552750753,0.5400361881392765,103514.37647058823,110970.0,18278675.529411763,184220000.0,0.885956505882353,0.125,6,750.0,8.0,0.008,40000.0,8.0,850
A6-750-8-40000,0.6,-0.0010581999999999996,0.0008983000000000003,8.9407e-12,0.00077061,-0.0007,0.00056593,1897.9260210035006,2988.1,1423570.1808634773,6007800.0,0.10783164887413531,0.4849974030905206,103037.13535589265,112600.0,17669021.06184364,132460000.0,0.8883383838973162,0.09453,6,750.0,8.0,0.008,40000.0,8.0,857
A6-750-8-40000,0.7,-0.0010749999999999996,0.0008034000000000001,1.4901e-10,0.00077225,-0.0007,0.00059333,1886.3666468489894,3034.6,1303531.8430439953,5050900.0,0.10601075101051434,0.48250862964718055,103302.29488703924,107600.0,17756071.938168846,138490000.0,0.8801949048751486,0.114595,6,750.0,8.0,0.008,40000.0,8.0,841
